07:08:23 | INFO    | 🚀 ЗАПУСК | Модель: o4-mini | Вопросов: 482
07:08:23 | INFO    | 🌐 API: https://vedai.by/api/v1 | Temp: 0.3 | Tokens: 100
07:08:23 | INFO    | ----------------------------------------------------------------------
07:08:26 | INFO    | ✅ Подключение: ✓ o4-mini
07:08:30 | INFO    | Q001 ❌ "Противошоковый набор включает следующие лекарственные препараты:..." → [1, 2, 3] (score: 0.0) [4.07с]
07:08:30 | INFO    |       ⚠️ Ошибка: ожидалось [1, 2, 3, 5], получено [1, 2, 3]
07:08:34 | INFO    | Q002 ✅ "Препаратом выбора для оказания первой медицинской помощи при анафилаксии следует..." → [4] (score: 1.0) [4.09с]
07:08:39 | INFO    | Q003 ✅ "Эпинефрин при оказании первой помощи при анафилаксии следует вводить:..." → [4] (score: 1.0) [3.88с]
07:08:44 | INFO    | Q004 ✅ "Анафилаксия может развиться после воздействия на организм:..." → [4] (score: 1.0) [4.67с]
07:08:49 | INFO    | Q005 ✅ "Наиболее частая причина анафилаксии у детей:..." → [4] (score: 1.0) [4.57с]
07:08:55 | INFO    | Q006 ✅ "Неотложные мероприятия при развитии анафилаксии проводят:..." → [2] (score: 1.0) [5.39с]
07:08:59 | INFO    | Q007 ✅ "Препарат выбора при проведении противошоковых мероприятий при развитии анафилакс..." → [1] (score: 1.0) [3.81с]
07:09:04 | INFO    | Q008 ❌ "Сопутствующая патология, усугубляющая течение анафилаксии:..." → [1, 3, 4] (score: 0.0) [4.51с]
07:09:04 | INFO    |       ⚠️ Ошибка: ожидалось [1, 3, 4, 5], получено [1, 3, 4]
07:09:09 | INFO    | Q009 ❌ "Для поражения сердечно-сосудистой системы при анафилаксии характерно:..." → [2] (score: 0.0) [4.35с]
07:09:09 | INFO    |       ⚠️ Ошибка: ожидалось [5], получено [2]
07:09:13 | INFO    | Q010 ❌ "Для поражения дыхательной системы при анафилактическом шоке характерно:..." → [2, 3] (score: 0.0) [3.67с]
07:09:13 | INFO    |       ⚠️ Ошибка: ожидалось [2, 3, 5], получено [2, 3]
07:09:13 | INFO    | 💾 Прогресс сохранён (#10)
07:09:19 | INFO    | Q011 ✅ "Для реакции анафилаксии характерны следующие поражения кожи:..." → [3, 5] (score: 1.0) [5.21с]
07:09:24 | INFO    | Q012 ❌ "Респираторные симптомы, характерные для анафилаксии:..." → [2, 3] (score: 0.0) [4.61с]
07:09:24 | INFO    |       ⚠️ Ошибка: ожидалось [1, 2, 3, 4, 5], получено [2, 3]
07:09:30 | INFO    | Q013 ❌ "Гастроинтестинальные симптомы, характерные для анафилаксии:..." → [2, 4, 5] (score: 0.0) [5.35с]
07:09:30 | INFO    |       ⚠️ Ошибка: ожидалось [1, 2, 4, 5], получено [2, 4, 5]
07:09:49 | INFO    | Q014 ✅ "Дифференциальный диагноз анафилаксии следует проводить с:..." → [1, 2, 3, 4, 5] (score: 1.0) [18.58с]
